run,seed,fold,MAE,RMSE,peakMAE,n
29 나무 더 깊게,0,2021-07,10.122783505636058,17.625485351528845,29.4164021351552,648
29 나무 더 깊게,0,2021-08,7.475508825757766,10.405862351802808,9.765204324634027,725
29 나무 더 깊게,1,ALL,10.459539078484147,19.80101710340085,22.535878077065956,1757
29 나무 더 깊게,1,2021-05,18.986515520632366,34.329088267960095,18.420708052876247,336
29 나무 더 깊게,1,2021-06,1.3694008310240295,1.6932745691199462,,48
29 나무 더 깊게,1,2021-07,10.023981123973877,18.086845984247365,29.297000752753217,648
29 나무 더 깊게,1,2021-08,7.498855086537856,10.556462098135995,10.679390612595078,725
29 나무 더 깊게,2,ALL,10.470456300792907,20.14461279473277,21.54285672290124,1757
29 나무 더 깊게,2,2021-05,18.662605355110607,35.114194794650246,17.106294576288075,336
29 나무 더 깊게,2,2021-06,1.353709598825538,1.7011444987692885,,48
29 나무 더 깊게,2,2021-07,10.078969917773001,18.095545611745155,28.55830644684332,648
29 나무 더 깊게,2,2021-08,7.62731828098682,10.915612198119232,9.25498811179654,725
30 나무 더 얕게,0,ALL,9.204713266815782,16.982725307376548,15.356327119957093,1757
30 나무 더 얕게,0,2021-05,18.736759419271692,32.435207500971224,19.535160087419833,336
30 나무 더 얕게,0,2021-06,1.3383030146660229,1.6706360268399523,,48
30 나무 더 얕게,0,2021-07,7.361174716821501,11.34720377726091,19.07775137156749,648
30 나무 더 얕게,0,2021-08,6.95565556374585,9.803968473009446,8.265083913760863,725
30 나무 더 얕게,1,ALL,9.233024203892366,16.81823448944173,15.246617163556634,1757
30 나무 더 얕게,1,2021-05,18.415126951177076,31.724105669499334,19.117750294562136,336
30 나무 더 얕게,1,2021-06,1.3372217904640793,1.6530630512676465,,48
30 나무 더 얕게,1,2021-07,7.558136077359772,11.575593061216335,18.565884613614077,648
30 나무 더 얕게,1,2021-08,6.997354546995831,9.955521051792045,8.909069566873406,725
30 나무 더 얕게,2,ALL,9.185488723464037,16.878212015498512,15.226284511647902,1757
30 나무 더 얕게,2,2021-05,18.21634902241099,31.82610521254235,19.56648507691657,336
30 나무 더 얕게,2,2021-06,1.4239009595239838,1.7579746353003718,,48
30 나무 더 얕게,2,2021-07,7.515437519108966,11.608151938630666,18.810391704831254,648
30 나무 더 얕게,2,2021-08,7.006702975388219,10.015377417442114,8.36902058666143,725
31 천천히 오래,0,ALL,9.175808946376392,17.491344621664815,17.2405076624134,1757
31 천천히 오래,0,2021-05,18.293716752743187,33.126234885770565,17.165404929997834,336
31 천천히 오래,0,2021-06,1.413950687296644,1.7507522264057236,,48
31 천천히 오래,0,2021-07,7.950017277849117,12.55267133726266,21.61190703044978,648
31 천천히 오래,0,2021-08,6.559622980448471,9.583619665661999,9.347900272138501,725
31 천천히 오래,1,ALL,9.255486788613753,17.52254166373261,17.503138532366073,1757
31 천천히 오래,1,2021-05,17.992481687020064,33.17302271607322,16.457116003605567,336
31 천천히 오래,1,2021-06,1.4323797235750817,1.7674128756665597,,48
31 천천히 오래,1,2021-07,8.026979564973509,12.46409773590169,21.871163985944598,648
31 천천히 오래,1,2021-08,6.82231649092577,9.748433887309243,9.701796267896151,725
31 천천히 오래,2,ALL,9.259823539137683,17.396640764817015,17.34577108329858,1757
31 천천히 오래,2,2021-05,17.884956361973707,32.638696071635366,16.106293308575804,336
31 천천히 오래,2,2021-06,1.4298914260778683,1.7759790554561006,,48
31 천천히 오래,2,2021-07,7.910936287410664,12.467017972348854,21.546440658732408,648
31 천천히 오래,2,2021-08,6.986542231652268,10.030337805675375,9.863813585121912,725
