model,fset,clone,MAE,RMSE,peakMAE,n,group,part
ensemble,no_plan,drop,25.97310837213216,34.02588218710788,44.50723042904095,696.0,전체,2021-07
ensemble,no_plan,keep,10.417855941955686,14.645055382717606,23.033795746490938,696.0,전체,2021-07
lgbm,full,down,14.021469219600881,21.365846174537104,27.85528309156998,696.0,전체,2021-07
lgbm,full,drop,14.240420297978766,20.43755949467003,28.742388745599932,696.0,전체,2021-07
lgbm,full,keep,13.26306143405409,20.237827577662777,27.239777347874245,696.0,전체,2021-07
lgbm,no_plan,down,13.159576713305553,20.50373760555469,29.33153043323955,696.0,전체,2021-07
lgbm,no_plan,drop,24.484015366112303,33.70960663001685,49.895984398165034,696.0,전체,2021-07
lgbm,no_plan,keep,12.324562611859204,18.634083237034236,26.789041013124073,696.0,전체,2021-07
ridge,full,down,14.135071987640176,17.19932896484432,14.302500602652467,696.0,전체,2021-07
ridge,full,drop,20.39012368574057,27.366641333682654,39.803610886465535,696.0,전체,2021-07
ridge,full,keep,14.07406563446444,17.05665893236085,10.045834378465981,696.0,전체,2021-07
ridge,no_plan,down,12.57306449922594,15.466714831383088,21.125591440572602,696.0,전체,2021-07
ridge,no_plan,drop,25.97310837213216,34.02588218710788,44.50723042904095,696.0,전체,2021-07
ridge,no_plan,keep,11.663312793732715,14.581537585382364,17.750257929847375,696.0,전체,2021-07
baseline_lag168,-,keep,42.93103448275862,71.2764506256667,96.80701754385964,725.0,전체,2021-08
